,M_B,M_V,M_I,M_J,M_H,M_K,name,logP,EBV,mod
0,-3.2993904207839257,-4.069988720783925,-4.826745280783925,-5.358355160783924,-5.7815693907839245,-5.813689050783925,AA Gem,1.053181,0.309,12.800918720783924
1,-2.7310773423281933,-2.337047742328192,-2.9832490223281916,-3.413870462328193,-3.777914702328193,-3.8043087823281923,AA Mon,0.595294,0.792,12.512887742328193
2,-3.118397994810268,-4.229038194810268,-5.571634834810268,-6.369003554810268,-6.919981174810268,-6.963509214810268,AA Ser,1.234041,1.046,13.088458194810269
3,-2.5527756107495065,-3.0715507107495075,-3.6685050307495075,-4.003927390749508,-4.321901700749507,-4.357256720749508,AD Gem,0.578408,0.173,12.367760710749508
4,-4.910153152570007,-5.767479752570006,-6.676608872570006,-7.185896632570006,-7.6191780925700066,-7.699443412570005,AQ Pup,1.478624,0.518,12.799339752570006
5,-2.914628070267897,-3.5357453702678967,-4.305022730267896,-4.666981010267896,-4.980539140267896,-5.007562600267896,AS Per,0.696531,0.679,11.061575370267896
6,-3.413871816443896,-3.9902361164438958,-4.648083876443895,-5.030971356443896,-5.333650186443895,-5.350723046443896,AW Per,0.810474,0.489,9.877766116443896
7,-2.9558398489063284,-3.6584745489063284,-4.4206835889063285,-4.856872508906329,-5.216125578906328,-5.288852518906329,BB Sgr,0.821971,0.281,9.690844548906329
8,-2.4810564034769564,-3.108750903476956,-3.7822033034769555,-4.207343503476956,-4.539088953476956,-4.599027853476955,BF Oph,0.609329,0.235,9.686700903476956
9,-2.710037305437668,-3.3616473054376685,-4.078799305437669,-4.444595305437669,-4.791036305437668,-4.8459583054376685,BG Lac,0.726883,0.3,11.273647305437668
10,-3.3009299346077086,-3.9423774346077067,-4.612259434607707,-5.040470434607708,-5.390095184607707,-5.417984684607707,BK Aur,0.903222,0.425,12.026627434607708
11,-3.4437177171771314,-4.214176917177133,-5.017454357177131,-5.518851477177131,-5.919702997177132,-5.991394837177131,BN Pup,1.135867,0.416,12.752496917177131
12,-3.535914549046243,-4.2657640490462425,-5.042212449046243,-5.576910649046242,-5.990611599046242,-6.044381499046242,BZ Cyg,1.006127,0.885,11.628214049046242
13,-4.045565933950428,-4.820925033950429,-5.696708153950429,-6.17851291395043,-6.57475762395043,-6.64602944395043,CD Cyg,1.232334,0.493,12.17653503395043
14,-2.7699818951347357,-3.6019977951347357,-4.440514675134735,-4.947859915134735,-5.354452705134735,-5.370855885134735,CK Sct,0.870124,0.757,11.731887795134735
15,-3.5008412077664683,-4.496997507766469,-5.479259667766469,-6.1328383477664685,-6.631152377766469,-6.690183637766468,CP Cep,1.251989,0.649,12.977727507766469
16,-2.810027073279885,-3.493105373279885,-4.321397933279885,-4.772735813279885,-5.174538043279885,-5.195553703279884,CR Cep,0.794695,0.709,10.858035373279884
17,-3.2465050298024654,-3.8481582298024666,-4.4944164698024665,-4.868991989802466,-5.1975549098024665,-5.205085549802466,CR Ser,0.724391,1.036,11.354878229802466
18,-3.2849857851218456,-4.031400785121846,-4.833628785121846,-5.254322785121846,-5.651984285121847,-5.681867285121846,DD Cas,0.991759,0.45,12.456900785121846
19,-2.7539923120583802,-3.2529403120583797,-3.79829391205838,-4.18246671205838,-4.43812551205838,-4.47511511205838,DT Cyg,0.397804,0.04,8.89774031205838
